id;course_id;grade
29;1;14.5
29;1;8
29;1;12
29;1;9
29;1;7.5
29;1;8.5
29;1;8.5
29;2;7
29;2;5.5
29;2;5
29;2;14
29;2;5.5
35;8;7.5
35;8;4.5
35;8;5.5
35;8;5
35;8;5
35;8;8
35;4;7
35;4;5.5
35;3;13
35;3;14.5
35;3;12.5
35;3;15
35;3;14.5
35;3;unknown
35;3;15
35;7;11.9
35;7;10.6
35;7;11
35;7;9.9
35;7;10.1
35;9;5.9
35;9;11.6
35;9;12.4
35;9;1.6
35;9;11
35;9;7.4
35;5;14.75
35;5;14.75
35;5;9.75
35;5;12.75
35;5;10.5
35;5;12.75
35;5;10.75
35;5;12
35;10;5
35;10;5.5
35;10;12.5
35;10;10.5
35;10;9
35;6;8.5
35;6;15.25
35;6;12.5
35;6;18
35;6;9.5
35;6;12.5
35;6;14
35;1;11.5
35;1;10.5
35;1;11.5
35;1;12
35;1;9
35;1;9.5
35;1;15.5
35;2;11
35;2;8
35;2;7
35;2;5.5
57;8;7
57;8;7.5
57;8;5.5
57;8;4.5
57;8;7.5
57;8;9.5
57;4;7.5
57;4;7.5
57;4;6
57;3;14
57;3;16.75
57;3;12.5
57;3;14.5
57;3;14.75
57;3;13.75
57;7;11.3
57;7;11.7
57;7;10.4
57;7;10.7
57;7;12.1
57;7;10.8
57;9;7.1
57;9;6.7
57;9;7.6
57;9;11.8
57;9;12.9
57;5;12
57;5;12.25
57;5;12.75
57;5;9.5
57;5;11.25
57;5;12.5
57;5;12.5
57;5;10
57;5;12.75
57;10;4
57;10;6.5
57;10;8
57;10;5.5
57;10;11
57;6;11.25
57;6;12.75
57;6;11.5
57;6;7
57;6;10.5
57;6;11.25
57;1;11
57;1;9.5
57;1;10
57;1;9
57;1;9.5
57;1;11.5
57;2;7.5
57;2;8
57;2;9.5
57;2;8.5
63;8;7
63;8;6.5
63;8;6
63;8;7
63;8;6.5
63;8;5.5
63;4;5.5
63;4;5.5
63;4;6.5
63;3;13.75
63;3;14.75
63;3;14.25
63;3;14.5
63;3;14
63;3;12.75
63;3;13
63;7;11.7
63;7;10.7
63;7;11.5
63;7;12.1
63;7;11.2
63;7;9.6
63;9;5.3
63;9;8.4
63;9;5.4
63;9;8.8
63;9;12.3
63;9;8.3
63;5;11.75
63;5;14.75
63;5;16
63;5;12
63;5;15.5
63;5;7.75
63;5;11
63;5;11.75
63;10;5.5
63;10;4
63;10;8
63;10;6
63;10;11
63;6;15.25
63;6;16
63;6;12.5
63;6;13.75
63;6;13.5
63;6;10.25
63;6;11.5
63;6;14.75
63;1;9.5
63;1;13.5
63;1;8.5
63;1;8.5
63;1;11
63;1;10.5
63;1;13
63;2;9.5
63;2;7
63;2;8.5
63;2;10
63;2;9
79;8;6
79;8;6
79;8;6.5
79;8;7.5
79;8;7
79;8;7.5
79;4;8.5
79;4;7
79;4;4.5
79;3;13.5
79;3;14.75
79;3;12.75
79;3;14.25
79;3;13
79;3;12.25
79;3;13.75
79;7;11.8
79;7;11.6
79;7;10.6
79;7;10.6
79;7;12.2
79;7;10.8
79;9;10.1
79;9;11
79;9;7.9
79;9;4.8
79;9;11.2
79;9;10.5
79;5;10
79;5;9.75
79;5;11.75
79;5;18
79;5;11
79;5;14.25
79;5;9.25
79;5;11
79;10;10
79;10;7
79;10;1
79;10;12
79;10;5.5
79;6;16.75
79;6;11.5
79;6;10.75
79;6;11.25
79;6;13
79;6;9.25
79;6;14.5
79;6;11.25
79;1;10.5
79;1;12.5
79;1;9
79;1;7.5
79;1;9
79;1;10
79;1;10.5
79;2;8
79;2;6
79;2;7.5
79;2;7
79;2;6.5
85;8;7
85;8;7
85;8;8.5
85;8;7.5
85;8;6.5
85;8;7
85;4;6.5
85;4;6.5
85;4;4.5
85;3;14
85;3;16
85;3;13.5
85;3;14
85;3;13
85;3;14
85;3;13.25
85;7;10
85;7;10.1
85;7;11.7
85;7;12.2
85;7;11.4
85;7;10.5
85;9;4
85;9;7.5
85;9;15.2
85;9;7.5
85;9;7.6
85;9;6.8
85;5;9
85;5;15.25
85;5;12
85;5;10.5
85;5;12
85;5;9.5
85;5;14.75
85;5;10.25
85;5;11
85;10;5.5
85;10;10
85;10;7.5
85;10;3.5
85;10;4.5
85;6;17.25
85;6;14.25
85;6;14.25
85;6;14.5
85;6;11
85;6;13
85;6;12.75
85;1;unknown
85;1;9
85;1;14
85;1;9
85;1;8.5
85;1;13.5
85;1;9
85;2;8.5
85;2;6
85;2;11.5
85;2;unknown
85;2;9.5
91;8;7
91;8;7.5
91;8;5
91;8;6.5
91;8;6.5
91;8;6
91;4;4.5
91;4;7
91;4;5
91;3;14.25
91;3;13.75
91;3;14.25
91;3;13.75
91;3;15.25
91;3;16
91;3;14
91;7;11.8
91;7;11.3
91;7;10.8
91;7;10.2
91;7;11.5
91;7;10.3
91;9;7.4
91;9;unknown
91;9;9.3
91;9;8.7
91;9;11.5
91;9;5.5
91;5;10
91;5;14.25
91;5;10.75
91;5;13.75
91;5;14.5
91;5;11
91;5;11.5
91;5;8
91;5;15
91;10;7.5
91;10;unknown
91;10;10.5
91;10;8
91;10;6.5
91;6;12
91;6;10
91;6;10.5
91;6;9.5
91;6;14.75
91;6;12.5
91;6;12
91;6;14
91;1;9.5
91;1;11
91;1;11.5
91;1;9.5
91;1;12
91;1;9.5
91;2;8.5
91;2;5
91;2;5.5
91;2;7
91;2;11
102;8;10
102;8;6.5
102;8;6
102;8;5.5
102;8;8
102;8;6.5
102;4;unknown
102;4;6
102;4;4
102;3;14.75
102;3;13.75
102;3;13.25
102;3;13.75
102;3;14.25
102;3;16.25
102;3;13.75
102;7;10.5
102;7;10.9
102;7;11.2
102;7;9
102;7;12.3
102;7;11
102;9;9.1
102;9;10.5
102;9;5.6
102;9;4.7
102;9;6.1
102;9;8.8
102;5;13.75
102;5;6
102;5;15.25
102;5;11
102;5;9
102;5;12.75
102;5;9.75
102;5;14.5
102;5;11.75
102;10;8.5
102;10;9
102;10;8
102;10;7
102;10;9.5
102;6;12.75
102;6;11
102;6;11.25
102;6;11.25
102;6;15.25
102;6;9
102;6;11.75
102;1;10
102;1;9
102;1;8.5
102;1;7
102;1;13
102;1;10.5
102;1;11
102;2;8.5
102;2;5.5
102;2;9
102;2;5.5
102;2;10.5
110;8;6
110;8;unknown
110;8;6
110;8;6
110;8;7
110;8;6.5
110;4;9
110;4;8.5
110;4;6
110;3;16
110;3;13.75
110;3;14.25
110;3;14.5
110;3;14.75
110;3;13.75
110;3;13
110;7;10.3
110;7;9
110;7;8.4
110;7;10.1
110;7;10.1
110;7;10.5
110;9;6.6
110;9;10.1
110;9;9.4
110;9;8.1
110;9;8.9
110;5;9
110;5;13.25
110;5;10.25
110;5;8.5
110;5;10.25
110;5;9.25
110;5;7.25
110;5;9.75
110;5;10.25
110;10;9
110;10;5.5
110;10;7
110;10;7.5
110;10;5.5
110;6;12.5
110;6;11.75
110;6;13.75
110;6;15
110;6;11.25
110;6;8.25
110;6;10.25
110;6;14.75
110;1;9
110;1;7.5
110;1;9.5
110;1;9.5
110;1;5.5
110;1;11
110;1;7
110;2;7
110;2;7.5
110;2;4
110;2;6.5
110;2;4.5
113;8;8.5
113;8;8.5
113;8;6.5
113;8;7.5
113;8;7
113;4;7.5
113;4;6.5
113;4;5
113;3;14
113;3;13.5
113;3;14.75
113;3;15
113;3;14
113;3;16.25
113;3;16
113;7;10.1
113;7;11.8
113;7;12.7
113;7;12
113;7;12.3
113;7;11.2
113;9;4.4
113;9;6.9
113;9;8
113;9;7.3
113;9;11.7
113;9;10.6
113;5;14.75
113;5;6.5
113;5;12
113;5;13.25
113;5;9.25
113;5;14.5
113;5;9.5
113;5;12
113;5;13.75
113;10;9.5
113;10;5.5
113;10;10.5
113;10;7.5
113;6;16.5
113;6;17.75
113;6;13.25
113;6;7.5
113;6;13.5
113;6;14.75
113;6;12.5
113;6;13.75
113;1;7
113;1;12
113;1;11
113;1;10.5
113;1;10
113;1;8.5
113;1;10.5
113;2;8.5
113;2;5
113;2;5.5
113;2;7.5
113;2;10
125;8;4
125;8;8
125;8;6
125;8;6.5
125;8;6
125;8;7
125;4;5
125;4;8
125;4;5.5
125;3;14.25
125;3;14.25
125;3;14
125;3;14
125;3;14.75
125;3;15.5
125;3;15.25
125;7;12.6
125;7;12
125;7;11.8
125;7;11.9
125;7;11.2
125;7;11
125;9;13.1
125;9;6.7
125;9;11
125;9;7.4
125;9;7.8
125;9;8.4
125;5;12.25
125;5;7.25
125;5;16
125;5;13.25
125;5;12.5
125;5;14.25
125;5;11.5
125;5;11.5
125;5;11.75
125;10;3.5
125;10;9
125;10;5.5
125;10;7.5
125;10;8.5
125;6;12
125;6;11.75
125;6;11.5
125;6;13
125;6;13.75
125;6;13.5
125;6;13.25
125;6;8.5
125;1;8.5
125;1;9.5
125;1;13
125;1;8.5
125;1;12.5
125;1;10.5
125;1;9
125;2;9.5
125;2;11
125;2;9
125;2;1.5
125;2;8.5
169;8;5
169;8;7
169;8;8
169;8;6.5
169;8;4.5
169;8;7.5
169;4;7
169;4;6.5
169;4;9.5
169;3;15.5
169;3;unknown
169;3;11.5
169;3;14.75
169;3;13
169;3;11.75
169;3;14.75
169;7;11.1
169;7;10.1
169;7;12.8
169;7;11.7
169;7;12
169;9;7.9
169;9;4.8
169;9;10.4
169;9;11.6
169;9;5.8
169;9;10.8
169;5;13
169;5;13
169;5;9.75
169;5;14.75
169;5;18.25
169;5;10.5
169;5;9.5
169;5;14
169;5;7.75
169;10;5
169;10;2.5
169;10;6
169;10;10.5
169;10;6.5
169;6;12.5
169;6;12.75
169;6;20
169;6;15.5
169;6;11.5
169;6;16.75
169;6;9.25
169;6;17.75
169;1;10.5
169;1;12
169;1;unknown
169;1;11.5
169;1;7
169;1;10
169;1;9
169;2;9
169;2;13.5
169;2;7.5
169;2;5
178;8;6.5
178;8;3.5
178;8;6.5
178;8;8
178;8;unknown
178;8;5.5
178;4;6
178;4;9.5
178;4;7.5
178;3;13.75
178;3;12.75
178;3;14
178;3;15.5
178;3;16.25
178;3;14.5
178;3;15
178;7;10.9
178;7;11.2
178;7;11
178;7;11.1
178;7;10
178;7;unknown
178;9;15
178;9;7.7
178;9;7.5
178;9;13.3
178;9;11.8
178;9;4.9
178;5;14
178;5;11.25
178;5;9.25
178;5;10.5
178;5;12.25
178;5;11.75
178;5;10.25
178;5;11.75
178;10;8.5
178;10;9
178;10;12.5
178;10;5.5
178;10;6
178;6;17
178;6;13.75
178;6;14.25
178;6;7.25
178;6;14.5
178;6;unknown
178;6;14
178;6;13.5
178;1;9
178;1;13
178;1;7.5
178;1;11
178;1;11.5
178;1;9.5
178;1;10.5
178;2;6.5
178;2;7.5
178;2;10.5
178;2;6.5
178;2;6
179;8;7.5
179;8;8.5
179;8;7.5
179;8;7.5
179;8;7
179;8;8.5
179;4;8.5
179;4;5.5
179;4;7.5
179;3;14.5
179;3;14
179;3;14.75
179;3;14.75
179;3;14
179;3;13.5
179;3;13.5
179;7;10.8
179;7;11.2
179;7;10.4
179;7;9.1
179;7;8.5
179;7;9.3
179;9;12.5
179;9;9.1
179;9;14.7
179;9;9.1
179;9;10.7
179;9;5.3
179;5;8
179;5;12.5
179;5;9
179;5;15.25
179;5;8.75
179;5;13.75
179;5;17.25
179;5;9.5
179;5;9
179;10;6
179;10;7
179;10;8.5
179;10;4
179;10;5
179;6;13
179;6;11.25
179;6;9.75
179;6;12
179;6;15.5
179;6;13
179;6;11
179;6;14.75
179;1;8
179;1;9.5
179;1;8.5
179;1;9
179;1;9
179;1;10.5
179;1;8
179;2;8
179;2;7
179;2;8.5
179;2;9.5
179;2;8.5
194;8;8.5
194;8;6.5
194;8;6.5
194;8;6
194;8;8.5
194;8;5.5
194;4;6.5
194;4;6
194;4;5
194;3;13.75
194;3;13
194;3;14
194;3;14.25
194;3;12
194;3;13.5
194;3;15.25
194;7;10.9
194;7;9.6
194;7;10.2
194;7;11.6
194;7;10.8
194;7;10.5
194;9;8.5
194;9;7.3
194;9;13.8
194;9;9.2
194;9;3.2
194;9;12.4
194;5;8.5
194;5;7.25
194;5;12.5
194;5;8.75
194;5;10.25
194;5;11.5
194;5;13.75
194;5;11.75
194;5;12.5
194;10;7
194;10;7
194;10;6.5
194;10;4.5
194;10;3
194;6;13.5
194;6;15
194;6;13.5
194;6;14
194;6;14.25
194;6;13.75
194;6;15.5
194;6;14.75
194;1;8.5
194;1;10.5
194;1;14
194;1;10.5
194;1;11
194;1;9
194;1;11
194;2;8
194;2;6.5
194;2;7.5
194;2;7.5
194;2;6
202;8;6.5
202;8;6.5
202;8;6
202;8;6
202;8;5
202;8;7
202;4;6.5
202;4;5.5
202;4;5
202;3;14
202;3;13.5
202;3;13.25
202;3;14.5
202;3;15.25
202;3;12.25
202;3;15.25
202;7;9.7
202;7;11.1
202;7;10.5
202;7;9.9
202;7;11.3
202;7;11.7
202;9;7.9
202;9;7.9
202;9;10.6
202;9;5.4
202;9;6.8
202;9;5
202;5;11.75
202;5;13
202;5;9.5
202;5;11
202;5;13.75
202;5;9.5
202;5;10
202;5;12.25
202;5;11
202;10;7.5
202;10;3.5
202;10;10
202;10;10.5
202;10;4
202;6;10.75
202;6;15
202;6;14.25
202;6;10
202;6;8
202;6;16.5
202;6;10.5
202;6;16.5
202;1;8
202;1;10.5
202;1;11.5
202;1;9
202;1;7.5
202;1;12.5
202;1;10
202;2;8.5
202;2;8
202;2;8
202;2;8.5
202;2;7
268;8;7.5
268;8;6
268;8;7.5
268;8;5.5
268;8;10
268;8;8.5
268;4;6.5
268;4;7
268;3;13
268;3;13.5
268;3;15.5
268;3;14.25
268;3;14.75
268;3;15.25
268;3;12.75
268;7;9.9
268;7;11.4
268;7;11.8
268;7;9.7
268;7;10.5
268;7;10.9
268;9;11
268;9;13.7
268;9;8.5
268;9;9.5
268;9;9.9
268;9;8.3
268;5;15.5
268;5;11.25
268;5;11
268;5;12
268;5;12.75
268;5;9.75
268;5;14
268;5;7
268;5;9.75
268;10;7.5
268;10;5.5
268;10;8
268;10;7
268;10;7.5
268;6;9
268;6;12.75
268;6;12.25
268;6;11
268;6;13.5
268;6;15.5
268;6;10.75
268;6;16.75
268;1;10.5
268;1;7.5
268;1;12
268;1;13
268;1;11.5
268;1;6
268;1;11
268;2;6.5
268;2;7
268;2;7.5
268;2;unknown
268;2;9
301;8;6.5
301;8;unknown
301;8;5.5
301;8;6.5
301;8;7.5
301;8;5.5
301;4;6
301;4;4
301;4;4
301;3;14.75
301;3;14
301;3;13.5
301;3;12.25
301;3;14
301;3;13.75
301;3;14.75
301;7;11
301;7;10.9
301;7;10.2
301;7;9.2
301;7;13.3
301;9;8.6
301;9;0
301;9;10.5
301;9;5.4
301;9;8.3
301;9;12.5
301;5;14.5
301;5;14
301;5;14
301;5;10.25
301;5;10.25
301;5;7.75
301;5;11.75
301;5;9.75
301;5;8.75
301;10;9.5
301;10;4
301;10;4.5
301;10;2
301;10;4.5
301;6;11.5
301;6;11
301;6;11.5
301;6;14
301;6;19
301;6;14.25
301;6;11.5
301;6;11.5
301;1;7.5
301;1;8
301;1;11.5
301;1;9
301;1;4
301;1;7
301;1;8.5
301;2;5
301;2;8
301;2;10
301;2;4
301;2;6
326;8;7
326;8;5
326;8;8.5
326;8;7
326;8;10
326;8;6.5
326;4;4.5
326;4;7.5
326;4;8.5
326;3;13.5
326;3;13.5
326;3;14.75
326;3;15.75
326;3;13.5
326;3;14
326;3;13.25
326;7;11.5
326;7;10.5
326;7;11.8
326;7;10.7
326;7;10.7
326;7;9.8
326;9;7
326;9;11.3
326;9;7.7
326;9;8.3
326;9;8.1
326;9;9.2
326;5;8.75
326;5;14.75
326;5;13.25
326;5;13.75
326;5;9.75
326;5;16.75
326;5;11.75
326;5;11.5
326;5;8.5
326;10;6.5
326;10;7
326;10;5
326;10;8.5
326;10;2.5
326;6;14.25
326;6;10.5
326;6;13.25
326;6;13.5
326;6;12.5
326;6;15.75
326;6;10.25
326;1;11.5
326;1;13
326;1;11
326;1;7
326;1;9
326;1;7.5
326;1;13.5
326;2;6.5
326;2;5
326;2;5
326;2;10.5
326;2;unknown
330;8;6.5
330;8;5.5
330;8;6.5
330;8;9.5
330;8;7.5
330;8;6
330;4;7.5
330;4;6.5
330;4;8
330;3;13
330;3;13.75
330;3;16.5
330;3;16.25
330;3;14.5
330;3;12.25
330;3;16
330;7;10.4
330;7;10.6
330;7;12.4
330;7;10.2
330;7;11.4
330;7;9.4
330;9;7.6
330;9;unknown
330;9;16.2
330;9;7.3
330;9;11.2
330;9;7.9
330;5;18.25
330;5;7
330;5;13.5
330;5;11.75
330;5;11.25
330;5;6.25
330;5;10.5
330;5;13.75
330;10;5
330;10;11.5
330;10;11.5
330;10;6.5
330;10;10.5
330;6;15
330;6;11.25
330;6;15
330;6;7.75
330;6;11.5
330;6;19.5
330;6;10.25
330;6;6.75
330;1;9
330;1;10
330;1;12.5
330;1;3.5
330;1;12.5
330;1;10.5
330;1;12
330;2;4.5
330;2;5.5
330;2;11
330;2;8.5
336;8;7
336;8;7
336;8;6.5
336;8;6.5
336;8;8
336;8;7.5
336;4;6.5
336;4;6
336;4;7.5
336;3;14.5
336;3;14.25
336;3;13.25
336;3;13
336;3;14.25
336;3;16
336;3;14
336;7;11.2
336;7;11.3
336;7;11.7
336;7;12.3
336;7;11.1
336;7;unknown
336;9;14.3
336;9;3.3
336;9;9.4
336;9;13.5
336;9;10.1
336;9;12.4
336;5;12.5
336;5;10.5
336;5;13.5
336;5;13.75
336;5;17.25
336;5;12.5
336;5;11
336;5;5.25
336;5;8.5
336;10;7.5
336;10;8
336;10;8
336;10;3.5
336;10;4
336;6;13.25
336;6;8.75
336;6;12.25
336;6;17
336;6;12.5
336;6;16.75
336;6;18
336;6;10
336;1;8
336;1;12
336;1;9
336;1;11.5
336;1;9.5
336;1;10.5
336;2;10.5
336;2;7
336;2;7
336;2;13
336;2;9.5
341;8;7
341;8;8.5
341;8;8.5
341;8;5
341;8;6.5
341;8;7.5
341;4;5
341;4;6
341;4;6
341;3;12.5
341;3;14.5
341;3;12.75
341;3;14.5
341;3;12.75
341;3;11.75
341;3;12.5
341;7;12.3
341;7;11.3
341;7;12.1
341;7;11.2
341;7;11.6
341;7;10.8
341;9;16.2
341;9;11
341;9;14.4
341;9;6.3
341;9;9.7
341;9;6.2
341;5;12.75
341;5;14
341;5;10.75
341;5;6.25
341;5;16
341;5;13.5
341;5;10.5
341;5;13
341;10;5.5
341;10;6.5
341;10;6
341;10;5.5
341;10;7
341;6;10.5
341;6;17.5
341;6;17
341;6;15.25
341;6;14
341;6;12.5
341;6;16
341;6;11
341;1;13
341;1;4.5
341;1;11
341;1;11
341;1;8.5
341;1;10.5
341;1;9
341;2;10.5
341;2;11
341;2;8
341;2;9
348;8;6.5
348;8;7
348;8;6
348;8;6.5
348;8;5
348;8;7
348;4;6
348;4;7
348;4;8.5
348;3;13
348;3;16.5
348;3;14
348;3;16.5
348;3;14.75
348;3;15.25
348;3;14.25
348;7;10.4
348;7;8.6
348;7;11.8
348;7;12.3
348;7;9.4
348;7;10.9
348;9;10.6
348;9;3.2
348;9;12.2
348;9;8.7
348;9;0
348;9;8
348;5;13.25
348;5;11.75
348;5;5
348;5;7.5
348;5;10
348;5;5
348;5;6.5
348;5;11
348;5;10.5
348;10;7.5
348;10;5
348;10;8.5
348;10;6
348;10;7
348;6;10
348;6;12
348;6;13.25
348;6;11.5
348;6;10.75
348;6;7.5
348;6;9
348;6;9.25
348;1;11
348;1;9
348;1;4.5
348;1;10.5
348;1;14.5
348;1;10.5
348;1;9
348;2;8
348;2;9.5
348;2;7.5
348;2;1.5
348;2;5
367;8;8.5
367;8;6.5
367;8;8.5
367;8;6
367;8;7
367;8;7.5
367;4;7.5
367;4;5
367;4;5.5
367;3;14.75
367;3;14.5
367;3;13.25
367;3;13
367;3;14
367;3;14
367;3;13.75
367;7;10.5
367;7;10.4
367;7;11.1
367;7;11.8
367;7;11
367;7;10.8
367;9;4
367;9;10.6
367;9;6.4
367;9;8.6
367;9;7.3
367;9;7.7
367;5;10
367;5;10.25
367;5;16
367;5;13.5
367;5;12
367;5;12.25
367;5;10.75
367;5;14.5
367;5;12
367;10;4.5
367;10;5
367;10;5.5
367;10;9
367;10;8
367;6;15.25
367;6;14.75
367;6;13
367;6;14.75
367;6;12.5
367;6;12.75
367;6;14.25
367;6;11
367;1;unknown
367;1;11
367;1;12.5
367;1;15
367;1;8.5
367;1;10.5
367;1;10
367;2;8.5
367;2;7.5
367;2;9
367;2;9
367;2;7
377;8;7.5
377;8;unknown
377;8;6
377;8;5
377;8;7.5
377;8;6.5
377;4;5
377;4;7.5
377;4;7.5
377;3;16
377;3;15.75
377;3;13.5
377;3;14.75
377;3;16.25
377;3;12.25
377;3;12.5
377;7;11.4
377;7;11
377;7;10.5
377;7;11.7
377;7;11
377;7;11.2
377;9;1.3
377;9;10.1
377;9;7.5
377;9;10.6
377;9;13.6
377;9;9.1
377;5;15.25
377;5;18.75
377;5;15
377;5;13.25
377;5;16.25
377;5;12.25
377;5;13.5
377;5;12
377;5;15.5
377;10;4.5
377;10;8.5
377;10;10
377;10;4.5
377;10;9
377;6;14.5
377;6;10.5
377;6;13
377;6;17.25
377;6;14
377;6;11.25
377;6;13.5
377;6;12
377;1;10
377;1;12
377;1;11
377;1;9.5
377;1;8.5
377;1;13.5
377;1;12
377;2;9.5
377;2;9
377;2;10.5
377;2;7
377;2;7
378;8;8
378;8;6.5
378;8;6.5
378;8;5.5
378;8;8
378;8;7.5
378;4;5
378;4;7
378;4;5
378;3;13.75
378;3;14.25
378;3;13.25
378;3;12.5
378;3;13.75
378;3;14.75
378;3;15
378;7;11.1
378;7;10.3
378;7;11.9
378;7;10.6
378;7;10.1
378;7;12.7
378;9;8.2
378;9;9.6
378;9;7
378;9;7.9
378;9;9
378;9;10.5
378;5;16.25
378;5;10.25
378;5;15.25
378;5;11.75
378;5;14
378;5;12.25
378;5;12.5
378;5;11.25
378;5;10
378;10;5.5
378;10;8.5
378;10;7
378;10;6
378;10;5.5
378;6;15.5
378;6;13.75
378;6;15
378;6;16.25
378;6;11
378;6;14.25
378;6;10.75
378;6;11.25
378;1;9.5
378;1;10.5
378;1;9.5
378;1;13
378;1;9.5
378;1;13
378;1;13
378;2;10
378;2;12.5
378;2;8
378;2;8
378;2;10
397;8;7.5
397;8;6
397;8;7
397;8;6.5
397;8;8.5
397;8;5.5
397;4;6
397;4;6.5
397;3;13.5
397;3;15.25
397;3;15.25
397;3;15.25
397;3;14.5
397;3;14.25
397;3;15.25
397;7;10.5
397;7;11.7
397;7;10.1
397;7;9.6
397;7;10.4
397;9;8.8
397;9;9.4
397;9;11.4
397;9;8.8
397;9;8.7
397;9;11.3
397;5;11
397;5;14.25
397;5;8.75
397;5;7.5
397;5;14
397;5;9.75
397;5;12.25
397;5;11.5
397;5;14
397;10;10.5
397;10;8.5
397;10;8
397;10;8
397;10;7
397;6;11.75
397;6;9.75
397;6;8.25
397;6;13.5
397;6;12.5
397;6;12
397;6;12
397;6;14.75
397;1;11
397;1;13
397;1;8.5
397;1;12.5
397;1;7.5
397;1;11.5
397;1;8.5
397;2;10
397;2;6
397;2;6.5
397;2;10
397;2;5
406;8;7
406;8;5.5
406;8;7
406;8;5.5
406;8;7
406;8;6.5
406;4;7
406;4;7.5
406;4;6
406;3;14.5
406;3;13.75
406;3;13.5
406;3;12.5
406;3;15.5
406;3;14
406;3;14
406;7;13
406;7;11.3
406;7;10.1
406;7;10.6
406;7;12.3
406;7;11.3
406;9;9.8
406;9;8.8
406;9;9.4
406;9;7.8
406;9;8.2
406;9;6.8
406;5;15.75
406;5;11.5
406;5;10
406;5;13.75
406;5;14.25
406;5;12.25
406;5;7
406;5;9.5
406;5;12.75
406;10;5.5
406;10;3.5
406;10;2.5
406;10;6.5
406;6;10.75
406;6;13.5
406;6;16.75
406;6;13.25
406;6;13.5
406;6;13.25
406;6;16
406;6;13
406;1;9.5
406;1;13
406;1;12
406;1;10
406;1;10.5
406;1;10
406;1;8
406;2;10.5
406;2;5.5
406;2;9
406;2;7.5
406;2;11
433;8;5
433;8;2.5
433;8;4
433;8;7
433;8;8
433;8;3.5
433;4;9
433;4;4.5
433;4;8
433;3;12.75
433;3;13
433;3;14.5
433;3;12.75
433;3;12.5
433;3;12.5
433;3;14
433;7;10.2
433;7;11.9
433;7;11.3
433;7;11
433;7;9.9
433;7;11.4
433;9;9.6
433;9;10.5
433;9;6.4
433;9;8.5
433;9;9.7
433;9;13.6
433;5;12
433;5;7.5
433;5;15.75
433;5;14
433;5;13
433;5;13.5
433;5;12.5
433;5;8.25
433;5;9
433;10;2
433;10;4.5
433;10;6
433;10;7
433;10;4.5
433;6;14.5
433;6;15
433;6;9.75
433;6;13.25
433;6;14.75
433;6;13.75
433;6;11
433;6;14.75
433;1;8.5
433;1;10
433;1;11.5
433;1;9.5
433;1;9
433;1;11.5
433;1;10
433;2;10.5
433;2;9
433;2;5.5
433;2;5
433;2;8.5
475;8;5.5
475;8;6.5
475;8;6
475;8;7.5
475;8;7.5
475;8;8
475;4;9
475;4;4
475;4;7
475;3;13.25
475;3;13.5
475;3;15.75
475;3;14
475;3;14.25
475;3;12.25
475;3;12
